Time,Time Code,Country Name,Country Code,Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS]
2021,YR2021,Denmark,DNK,7375.15136719,68007.7566732954,4.40223118214453,10.84632206
2021,YR2021,Estonia,EST,2035.61999512,27943.701219882,7.89903259794904,7.46633816
2021,YR2021,France,FRA,..,43658.9789781222,6.53511998290108,..
2021,YR2021,Germany,DEU,6503.35644531,51203.5544731043,2.58355747499036,12.80539513
2021,YR2021,Iceland,ISL,6636.00195313,68594.0081044426,2.63698996444681,9.65296936
2021,YR2021,Ireland,IRL,6700.17871094,100172.079253421,12.5098824583638,6.7280345
2021,YR2021,Italy,ITA,3351.47875977,35770.0496120858,7.58257799694333,9.45429516
2021,YR2021,Netherlands,NLD,6531.00927734,57708.1112134322,4.31570449450686,11.21132469
2021,YR2021,Norway,NOR,9020.62695313,90655.3910229392,3.34426223318228,10.08628464
2021,YR2021,Poland,POL,1183.04736328,17999.8322682985,7.27786211149322,6.59315157
2021,YR2021,Portugal,PRT,2720.29174805,24598.4727937544,5.21597798514588,11.21076488
2021,YR2021,Slovenia,SVN,2670.83544922,29291.4006234431,7.92052575032362,9.15498257
2021,YR2021,Sweden,SWE,6914.90527344,61143.2212428047,4.7547986386104,11.27992725
2021,YR2021,United States,USA,..,70219.472454115,5.77954841835778,..
2021,YR2021,United Kingdom,GBR,5634.18212891,46585.8975644567,7.68565664671709,11.93908691
,,,,,,,
,,,,,,,
,,,,,,,
Data from database: World Development Indicators,,,,,,,
Last Updated: 10/26/2023,,,,,,,
